"nazev","adresa"
"Základní škola, Nerudova 9, České Budějovice","Nerudova 810 , České Budějovice 370 04"
"Základní škola, Pohůrecká 16, České Budějovice","Pohůrecká 382 , České Budějovice 370 06"
"Základní škola a Mateřská škola Besednice, okres Český Krumlov","Školní 228 , Besednice 382 81"
"Základní škola Kaplice, Fantova 446","Gen. Fanty 446 , Kaplice 382 41"
"Základní škola a Mateřská škola Větřní","Školní 232 , Větřní 382 11"
"Základní škola a Mateřská škola Malonty","26 , Malonty 382 91"
"Základní škola Kaplice, Školní 226","Školní 226 , Kaplice 382 41"
"Základní škola a Mateřská škola Loučovice","231 , Loučovice 382 76"
"Základní škola Český Krumlov, Za Nádražím 222","Za Nádražím 222 , Český Krumlov 381 01"
"Základní škola T. G. Masaryka, Český Krumlov, T. G. Masaryka 213","T. G. Masaryka 213 , Český Krumlov 381 01"
"Základní škola Český Krumlov, Linecká 43","Linecká 43 , Český Krumlov 381 01"
"Základní škola Český Krumlov, Plešivec 249","Sídliště Plešivec 249 , Český Krumlov 381 01"
"Základní škola a Mateřská škola Frymburk","112 , Frymburk 382 79"
"Základní škola a Mateřská škola Chvalšiny","150 , Chvalšiny 382 08"
"Základní škola a Mateřská škola Vyšší Brod","Náměstí 58 , Vyšší Brod 382 73"
"Základní škola a Mateřská škola Horní Planá","Jiráskova 186 , Horní Planá 382 26"
"Základní škola a Mateřská škola Dolní Třebonín","81 , Dolní Třebonín 382 01"
"Základní škola a Mateřská škola Lipno nad Vltavou","38 , Lipno nad Vltavou 382 78"
"Základní škola a Mateřská škola Přídolí","90 , Přídolí 381 01"
"Základní škola a Mateřská škola Zubčice","45 , Zubčice 382 32"
"Základní škola a Mateřská škola Křemže","Školní 182 , Křemže 382 03"
"Základní škola Velešín, okres Český Krumlov","Družstevní 340 , Velešín 382 32"
"Základní škola a Mateřská škola Brloh","149 , Brloh 382 06"
"Základní škola a Mateřská škola Benešov nad Černou","100 , Benešov nad Černou 382 82"
"Základní škola T. G. Masaryka a Mateřská škola Horní Dvořiště","52 , Horní Dvořiště 382 41"
"Základní škola a Mateřská škola Lužnice p. o.","109 , Lužnice 379 01"
"Základní škola a Mateřská škola Lodhéřov, okres Jindřichův Hradec","187 , Lodhéřov 378 26"
"Základní škola a Mateřská škola Majdalena","21 , Majdalena 378 03"
"Základní škola a Mateřská škola Staré Město pod Landštejnem","139 , Staré Město pod Landštejnem 378 82"
"Základní škola a Mateřská škola Budeč","2 , Budeč 378 92"
"Základní škola a Mateřská škola České Velenice","třída Čsl. legií 325 , České Velenice 378 10"
"Základní škola a Mateřská škola Český Rudolec","40 , Český Rudolec 378 83"
"Základní škola B. Němcové Dačice","B. Němcové 213 , Dačice 380 01"
"Základní škola J. A. Komenského Dačice","Komenského 7 , Dačice 380 01"
"Základní škola Chlum u Třeboně, okres Jindřichův Hradec","Náměstí 232 , Chlum u Třeboně 378 04"
"Základní škola Jindřichův Hradec II, Janderova 160","Janderova 160 , Jindřichův Hradec 377 01"
"Základní škola Jindřichův Hradec III, Vajgar 592","sídliště Vajgar 592 , Jindřichův Hradec 377 01"
"Základní škola Sira Nicholase Wintona Kunžak","náměstí Komenského 237 , Kunžak 378 62"
"Základní škola Nová Včelnice, příspěvková organizace","Školní 414 , Nová Včelnice 378 42"
"Základní škola a Mateřská škola v Rapšachu","290 , Rapšach 378 07"
"Základní škola Strmilov, okres Jindřichův Hradec","Tyršova 366 , Strmilov 378 53"
"Základní škola T. G. Masaryka Suchdol nad Lužnicí, okres Jindřichův Hradec","28. října 329 , Suchdol nad Lužnicí 378 06"
"Základní škola Třeboň, Sokolská 296","Sokolská 296 , Třeboň 379 01"
"Základní škola Třeboň, Na Sadech 375","Na sadech 375 , Třeboň 379 01"
"Základní škola Pelhřimov, Osvobození 1881, příspěvková organizace","Osvobození 1881 , Pelhřimov 393 01"
"Základní škola a mateřská škola Častrov, okres Pelhřimov","104 , Častrov 394 63"
"Základní škola a Mateřská škola Čejov, okres Pelhřimov","4 , Čejov 396 01"
"Základní škola a mateřská škola Jiřice, okres Pelhřimov","44 , Jiřice 396 01"
"Základní škola a mateřská škola Olešná, okres Pelhřimov","54 , Olešná 393 01"
"Základní škola a Mateřská škola Černovice, příspěvková organizace","Bělohrobského 367 , Černovice 394 94"
"Základní škola Horní Cerekev, okres Pelhřimov","Tyršova 209 , Horní Cerekev 394 03"
"Základní škola Humpolec, Hálkova 591, okres Pelhřimov","Hálkova 591 , Humpolec 396 01"
"Základní škola Kamenice nad Lipou, okres Pelhřimov","Vackova 125 , Kamenice nad Lipou 394 70"
"Základní škola a mateřská škola Košetice","165 , Košetice 394 22"
"Základní škola a Mateřská škola Nová Cerekev","72 , Nová Cerekev 394 15"
"Základní škola Nový Rychnov, okres Pelhřimov","170 , Nový Rychnov 394 04"
"Základní škola a mateřská škola Obrataň","170 , Obrataň 394 12"
"Základní škola Pacov","nám. Svobody 321 , Pacov 395 01"
"Základní škola Pelhřimov, Krásovy domky 989, příspěvková organizace","Krásovy domky 989 , Pelhřimov 393 01"
"Základní škola Pelhřimov, Komenského 1465, příspěvková organizace","Komenského 1465 , Pelhřimov 393 01"
"Základní škola Pelhřimov, Na Pražské 1543, příspěvková organizace","Pražská 1543 , Pelhřimov 393 01"
"Základní škola Otokara Březiny Počátky, okres Pelhřimov","Komenského sady 387 , Počátky 394 64"
"Základní škola Senožaty, okres Pelhřimov","184 , Senožaty 394 56"
"Základní škola a Mateřská škola Vyskytná, okres Pelhřimov, příspěvková organizace","151 , Vyskytná 394 05"
"Základní škola Želiv, okres Pelhřimov","220 , Želiv 394 44"
"Základní škola a Mateřská škola Žirovnice","Komenského 47 , Žirovnice 394 68"
"Základní škola Humpolec, Hradská 894, okres Pelhřimov","Hradská 894 , Humpolec 396 01"
"Základní škola a Mateřská škola v Albrechticích nad Vltavou","139 , Albrechtice nad Vltavou 398 16"
"Základní škola a Mateřská škola Bernartice, okres Písek","Táborská 34 , Bernartice 398 43"
"Základní škola Chyšky","96 , Chyšky 398 53"
"Základní škola a Mateřská škola Orlík nad Vltavou, okres Písek","2 , Orlík nad Vltavou 398 07"
"Základní škola Svobodná a Mateřská škola Písek, Šobrova 2070","Šobrova 2070 , Písek 397 01"
"Základní škola Edvarda Beneše a Mateřská škola Písek, Mírové nám. 1466","Mírové nám. 1466 , Písek 397 01"
"Základní škola T. G. Masaryka a Mateřská škola Písek, Čelakovského 24","Čelakovského 24 , Písek 397 01"
"Základní škola Jana Husa a Mateřská škola Písek, Husovo nám. 725","Husovo nám. 725 , Písek 397 01"
"Základní škola Tomáše Šobra a Mateřská škola Písek, Šobrova 2070","Šobrova 2070 , Písek 397 01"
"Základní škola Josefa Kajetána Tyla a Mateřská škola Písek, Tylova 2391","Tylova 2391 , Písek 397 01"
"Základní škola Protivín, se sídlem 398 11 Protivín, Komenského 238","Komenského 238 , Protivín 398 11"
"Základní škola a Mateřská škola Čížová, okres Písek","18 , Čížová 398 31"
"Základní škola a Montessori mateřská škola Prachatice, Národní 1018","Národní 1018 , Prachatice 383 01"
"Základní škola profesora Josefa Brože, Vlachovo Březí, okres Prachatice","Komenského 356 , Vlachovo Březí 384 22"
"Základní škola Prachatice, Vodňanská 287","Vodňanská 287 , Prachatice 383 01"
"Základní škola Volary, příspěvková organizace","U Nádraží 512 , Volary 384 51"
"Základní škola T. G. Masaryka, Vimperk, 1. máje 268, okres Prachatice","1. máje 268 , Vimperk 385 01"
"Základní škola Vimperk, Smetanova 405, okres Prachatice","Smetanova 405 , Vimperk 385 01"
"Základní škola a Mateřská škola Lhenice","Školní 284 , Lhenice 384 02"
"Základní škola, Netolice, okres Prachatice","Bavorovská 306 , Netolice 384 11"
"Základní škola Prachatice, Zlatá stezka 240","Zlatá stezka 240 , Prachatice 383 01"
"Základní škola, Základní umělecká škola a Mateřská škola Stachy, příspěvková organizace","253 , Stachy 384 73"
"Základní škola a Mateřská škola Zdíkov","250 , Zdíkov 384 72"
"Základní škola Mistra Jana Husa a Mateřská škola Husinec","Kostnická 227 , Husinec 384 21"
"Základní škola Vitějovice, okres Prachatice","12 , Vitějovice 384 27"
"Základní škola a mateřská škola Čkyně","155 , Čkyně 384 81"
"Základní škola a mateřská škola Vacov","38 , Vacov 384 86"
"Základní škola Zbytiny, okres Prachatice","2 , Zbytiny 384 41"
"Základní škola a Mateřská škola Cehnice, okres Strakonice","105 , Cehnice 387 52"
"Základní škola Strakonice, Dukelská 166","Dukelská 166 , Strakonice 386 01"
"Základní škola Strakonice, Krále Jiřího z Poděbrad 882","Krále Jiřího z Poděbrad 882 , Strakonice 386 01"
"Základní škola F. L. Čelakovského, Strakonice, Jezerní 1280","Jezerní 1280 , Strakonice 386 01"
"Základní škola Povážská Strakonice","Nad Školou 560 , Strakonice 386 01"
"Základní škola a Mateřská škola Střelské Hoštice, okres Strakonice","10 , Střelské Hoštice 387 15"
"Základní škola J.A.Komenského Blatná, okr. Strakonice","náměstí J. A. Komenského 387 , Blatná 388 01"
"Základní škola T.G.Masaryka Blatná, okr. Strakonice","tř. T. G. Masaryka 520 , Blatná 388 01"
"Základní škola a Mateřská škola Čestice","148 , Čestice 387 19"
"Základní škola a Gymnázium Vodňany","Alešova 50 , Vodňany 389 01"
"Základní škola Volyně, okres Strakonice","Školní 300 , Volyně 387 01"
"Základní škola a Mateřská škola Jistebnice","Kostelní 93 , Jistebnice 391 33"
"Základní škola a Mateřská škola Tábor, náměstí Mikuláše z Husi 45","nám. Mikuláše z Husi 45 , Tábor 390 01"
"Základní škola Sezimovo Ústí, Školní náměstí 628, okres Tábor","Školní náměstí 628 , Sezimovo Ústí 391 02"
"Základní škola Chýnov, okres Tábor","Gabrielovo náměstí 16 , Chýnov 391 55"
"Základní škola Veselí nad Lužnicí, Čs.armády 210, okres Tábor","Třída Čs. armády 210 , Veselí nad Lužnicí 391 81"
"Základní škola Veselí nad Lužnicí, Blatské sídliště 23, okres Tábor","Blatské sídliště 23 , Veselí nad Lužnicí 391 81"
"Základní škola Planá nad Lužnicí, okres Tábor","ČSLA 65 , Planá nad Lužnicí 391 11"
"Základní škola Soběslav, Komenského 20","Komenského 20 , Soběslav 392 01"
"Základní škola a Mateřská škola Opařany","165 , Opařany 391 61"
"Základní škola Tábor, Zborovská 2696","Zborovská 2696 , Tábor 390 03"
"Základní škola a Mateřská škola Choustník, okres Tábor","3 , Choustník 391 18"
"Základní škola a Mateřská škola Sudoměřice u Bechyně","64 , Sudoměřice u Bechyně 391 72"
"Základní škola a Mateřská škola Nadějkov, okres Tábor","Pivovarská 141 , Nadějkov 398 52"
"Základní škola Františka Křižíka Bechyně","Libušina 164 , Bechyně 391 65"
"Základní škola Sezimovo Ústí, Švehlova 111, okres Tábor","Švehlova 111 , Sezimovo Ústí 391 01"
"Základní škola a Mateřská škola Slapy","34 , Slapy 391 76"
"Základní škola Bechyně, Školní 293","Školní 293 , Bechyně 391 65"
"Základní škola a Mateřská škola Chotoviny, okres Tábor","Osvobození 47 , Chotoviny 391 37"
"Základní škola a Mateřská škola Malšice, okres Tábor","232 , Malšice 391 75"
"Základní škola a Mateřská škola Mladá Vožice","Morávkovo náměstí 25 , Mladá Vožice 391 43"
"Základní škola a Mateřská škola Sezimovo Ústí, 9. května 489, okres Tábor","9. května 489 , Sezimovo Ústí 391 02"
"Základní škola a Mateřská škola Tábor, Husova 1570","Husova 1570 , Tábor 390 02"
"Základní škola a Mateřská škola Tábor, Helsinská 2732","Helsinská 2732 , Tábor 390 05"
"Základní škola Soběslav, tř. Dr. Edvarda Beneše 50","tř. Dr. Edvarda Beneše 50 , Soběslav 392 01"
"Základní škola a Mateřská škola Košice, okres Tábor","65 , Košice 391 17"
"Základní škola a Mateřská škola Tučapy","200 , Tučapy 391 26"
"Základní škola Holýšov, příspěvková organizace","Táborová 428 , Holýšov 345 62"
"Základní škola Domažlice, Komenského 17","Komenského 17 , Domažlice 344 01"
"Základní škola Kout na Šumavě, okres Domažlice, příspěvková organizace","62 , Kout na Šumavě 345 02"
"Základní škola a mateřská škola Meclov, příspěvková organizace","126 , Meclov 345 21"
"Základní škola Všeruby, okres Domažlice, příspěvková organizace","70 , Všeruby 345 07"
"Základní škola a mateřská škola Domažlice, Msgre B. Staška 232, příspěvková organizace","Msgre. B. Staška 232 , Domažlice 344 01"
"Základní škola Hostouň, okres Domažlice, příspěvková organizace","Osvobození 188 , Hostouň 345 25"
"Masarykova základní škola Kdyně, okres Domažlice, příspěvková organizace","Komenského 134 , Kdyně 345 06"
"Základní škola Koloveč, okres Domažlice, příspěvková organizace","Sportovní 307 , Koloveč 345 43"
"Základní škola Staňkov, okres Domažlice, příspěvková organizace","Komenského 196 , Staňkov 345 61"
"Základní škola a mateřská škola Prapořiště, okres Domažlice, příspěvková organizace","100 , Kdyně 345 06"
"Základní škola a mateřská škola Milavče, okres Domažlice, příspěvková organizace","1 , Milavče 344 01"
"Základní škola Chodov, okres Domažlice-příspěvková organizace","73 , Chodov 345 33"
"Základní škola a Mateřská škola Osvračín, příspěvková organizace","188 , Osvračín 345 61"
"Základní škola a Mateřská škola Pocinovice, okres Domažlice, příspěvková organizace","135 , Pocinovice 345 09"
"Základní škola Horšovský Týn, okres Domažlice, příspěvková organizace","Zámecký park 3 , Horšovský Týn 346 01"
"Základní škola Mrákov, okres Domažlice, příspěvková organizace","93 , Mrákov 345 01"
"Základní škola Poběžovice, okres Domažlice","Masarykova 282 , Poběžovice 345 22"
"Základní škola praktická Domažlice, Msgre B. Staška 232, příspěvková organizace","Msgre. B. Staška 232 , Domažlice 344 01"
"Základní škola a mateřská škola Nový Kostel, příspěvková organizace","3 , Nový Kostel 351 34"
"Základní škola a mateřská škola Lipová, okres Cheb","128 , Lipová 350 02"
"Základní škola a mateřská škola Milhostov, okres Cheb","69 , Milhostov 350 02"
"Základní škola a Mateřská škola Drmoul, okres Cheb, příspěvková organizace","Školní 26 , Drmoul 353 01"
