"nazev","adresa"
"Vyšší odborná škola, Střední škola, Základní škola a Mateřská škola, Hradec Králové, Štefánikova 549","Štefánikova 549 , Hradec Králové 500 11"
"Střední škola řemesel a Základní škola, Hořice","Havlíčkova 54 , Hořice 508 01"
"Základní škola a Praktická škola, Broumov","Kladská 164 , Broumov 550 01"
"Dětský domov, Základní škola speciální a Praktická škola, Jaroměř","Palackého 142 , Jaroměř 551 01"
"Střední průmyslová škola, Odborná škola a Základní škola, Nové Město nad Metují","Československé armády 376 , Nové Město nad Metují 549 01"
"Základní škola logopedická a Mateřská škola logopedická, Choustníkovo Hradiště 161","161 , Choustníkovo Hradiště 544 42"
"Praktická škola, Základní škola a Mateřská škola Josefa Zemana, Náchod","Raisova 677 , Náchod 547 01"
"Mateřská škola a Základní škola speciální NONA, o.p.s.","Rašínova 313 , Nové Město nad Metují 549 01"
"Základní škola a Praktická škola SVÍTÁNÍ, o.p.s.","Klášterní 52 , Pardubice 530 02"
"Speciální mateřská škola, základní škola a praktická škola Pardubice","Do Nového 1131 , Pardubice 530 03"
"Základní škola a Praktická škola, Rychnov nad Kněžnou, Kolowratská 485","Kolowratská 485 , Rychnov nad Kněžnou 516 01"
"Základní škola, Dobruška, Opočenská 115","Opočenská 115 , Dobruška 518 01"
"Základní škola speciální, Semily, Nádražní 213, příspěvková organizace","Nádražní 213 , Semily 513 01"
"Speciální základní škola, mateřská škola a praktická škola Moravská Třebová","Komenského 287 , Moravská Třebová 571 01"
"Speciální mateřská škola a základní škola Polička","Jiráskova 825 , Polička 572 01"
"Speciální základní škola a střední škola Svitavy","Milady Horákové 488 , Svitavy 568 02"
"Základní škola a Mateřská škola při dětské léčebně, Janské Lázně, Horní promenáda 268","Horní promenáda 268 , Janské Lázně 542 25"
"Mateřská škola, Základní škola a Praktická škola, Trutnov","Horská 160 , Trutnov 541 02"
"Speciální základní škola Augustina Bartoše","Nábřeží pplk. A. Bunzla 660 , Úpice 542 32"
"Základní škola speciální a praktická škola Diakonie ČCE Vrchlabí","Komenského 616 , Vrchlabí 543 01"
"Základní škola Vrchlabí, Krkonošská 230, příspěvková organizace","Krkonošská 230 , Vrchlabí 543 01"
"Střední škola a Základní škola Sluneční, Hostinné","Mládežnická 329 , Hostinné 543 71"
"Základní škola a Praktická škola, Dvůr Králové nad Labem, Přemyslova 479","Přemyslova 479 , Dvůr Králové nad Labem 544 01"
"Základní škola Lanškroun, nám. A. Jiráska 140","nám. A. Jiráska 140 , Lanškroun 563 01"
"Střední škola a základní škola Žamberk","Tyršova 214 , Žamberk 564 01"
"Speciální základní škola a praktická škola Vysoké Mýto","Rokycanova 761 , Vysoké Mýto 566 01"
"Speciální základní škola, mateřská škola a praktická škola Ústí nad Orlicí","Lázeňská 206 , Ústí nad Orlicí 562 01"
"Speciální základní škola Králíky","Nábřežní 130 , Králíky 561 69"
"Základní škola Blansko, Nad Čertovkou, příspěvková organizace","Nad Čertovkou 2304 , Blansko 678 01"
"Mateřská škola, základní škola a praktická škola Boskovice, příspěvková organizace","Štefanikova 1142 , Boskovice 680 01"
"Základní škola speciální Blansko, příspěvková organizace","Žižkova 1919 , Blansko 678 01"
"Mateřská škola a základní škola při Dětské léčebně Křetín 12, příspěvková organizace","12 , Křetín 679 62"
"Základní škola při Dětské léčebně Ostrov u Macochy, příspěvková organizace","490 , Ostrov u Macochy 679 14"
"Základní škola a praktická škola Brno, Vídeňská, příspěvková organizace","Vídeňská 244 , Brno 639 00"
"AKADEMIA Gymnázium, Základní škola a Mateřská škola, s.r.o.","Rašelinová 2433 , Brno 628 00"
"Mateřská škola a základní škola Brno, Kociánka, příspěvková organizace","Kociánka 2801 , Brno 612 00"
"Mateřská škola, základní škola a střední škola Gellnerka Brno, příspěvková organizace","Gellnerova 66 , Brno 637 00"
"Mateřská škola a základní škola při Fakultní nemocnici Brno, příspěvková organizace","Černopolní 212 , Brno 613 00"
"Mateřská škola speciální, základní škola speciální a praktická škola Elpis Brno, příspěvková organizace","Koperníkova 803 , Brno 615 00"
"Základní škola Brno, Palackého třída, příspěvková organizace","Palackého třída 343 , Brno 612 00"
"Mateřská škola, základní škola a praktická škola Brno, Štolcova, příspěvková organizace","Štolcova 301 , Brno 618 00"
"Střední škola, základní škola a mateřská škola pro zdravotně znevýhodněné, Brno, Kamenomlýnská 2","Kamenomlýnská 124 , Brno 603 00"
"Základní škola Brno, Sekaninova, příspěvková organizace","Sekaninova 895 , Brno 614 00"
"Základní škola a mateřská škola logopedická, Brno, Veslařská 234","Veslařská 339 , Brno 637 00"
"Mateřská škola a základní škola Ivančice, příspěvková organizace","Široká 484 , Ivančice 664 91"
"Základní škola Želešice, Sadová, příspěvková organizace","Sadová 530 , Želešice 664 43"
"Základní škola a praktická škola Hustopeče, příspěvková organizace","Šafaříkova 999 , Hustopeče 693 01"
"Základní škola Mikulov, Školní, příspěvková organizace","Školní 184 , Mikulov 692 01"
"Dětský domov a Základní škola Vizovice","3. května 528 , Vizovice 763 12"
"Dětský domov, Mateřská škola, Základní škola a Praktická škola Zlín","Lazy VI 3695 , Zlín 760 01"
"Základní škola Zlín, Mostní","Mostní 2397 , Zlín 760 01"
"Základní škola Otrokovice, Komenského","Komenského 1855 , Otrokovice 765 02"
"Základní škola Slavičín, Hrádek na Vlárské dráze","Družstevní I 76 , Slavičín 763 21"
"Základní škola při dětské léčebně Luhačovice","Čes. armády 465 , Luhačovice 763 26"
"Dětský domov, Základní škola a Praktická škola Valašské Klobouky","16 , Valašské Klobouky 766 01"
"Základní škola a praktická škola Hodonín, náměstí B. Martinů, příspěvková organizace","nám. B. Martinů 2952 , Hodonín 695 01"
"Základní škola  a praktická škola Veselí nad Moravou, příspěvková organizace","Kollárova 1045 , Veselí nad Moravou 698 01"
"Mateřská škola a základní škola Kyjov, Školní, příspěvková organizace","Školní 3208 , Kyjov 697 01"
"Mateřská škola, základní škola, praktická škola a dětský domov Kyjov, příspěvková organizace","Za Humny 3304 , Kyjov 697 01"
"Základní škola Kroměříž, 1. máje","1. máje 209 , Kroměříž 767 01"
"Základní škola Bystřice pod Hostýnem, Pod Dubíčkem","Pod Dubíčkem 647 , Bystřice pod Hostýnem 768 61"
"Základní škola a Mateřská škola při zdravotnickém zařízení Kroměříž","Havlíčkova 1265 , Kroměříž 767 01"
"Základní škola a Mateřská škola Kroměříž, F. Vančury","Františka Vančury 3695 , Kroměříž 767 01"
"Odborné učiliště a Základní škola Holešov","Nádražní 525 , Holešov 769 01"
"Střední škola, Základní škola a Mateřská škola Prostějov, Komenského 10","Komenského 80 , Prostějov 796 01"
"Střední škola, základní škola a mateřská škola JISTOTA, o.p.s.","Tetín 1506 , Prostějov 796 01"
"Základní škola Třebíč, Cyrilometodějská 22","Cyrilometodějská 42 , Třebíč 674 01"
"Základní škola a Praktická škola Moravské Budějovice, Dobrovského 11","Dobrovského 11 , Moravské Budějovice 676 02"
"Základní škola a Mateřská škola Uherské Hradiště, Palackého náměstí","Palackého náměstí 238 , Uherské Hradiště 686 01"
"Základní škola Bojkovice, Štefánikova 957","Štefánikova 957 , Bojkovice 687 71"
"Základní škola a Praktická škola Čtverka, Uherský Brod","Na Výsluní 2047 , Uherský Brod 688 01"
"Základní škola a Mateřská škola Uherské Hradiště, Šafaříkova","Šafaříkova 961 , Uherské Hradiště 686 01"
"Mateřská škola, základní škola a střední škola Vyškov, příspěvková organizace","Sídliště Osvobození 681 , Vyškov 682 01"
"Mateřská škola, základní škola a praktická škola Znojmo, příspěvková organizace","Horní Česká 247 , Znojmo 669 02"
"Základní škola a Praktická škola Nové Město na Moravě, Malá 154","Malá 154 , Nové Město na Moravě 592 31"
